SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Symmetry Group Ltd,16.15,16.35,16.95,15.95,16.49,  0.37,"42,129,047"
Systems Limited,137.19,137.01,138.0,135.1,136.2,  -0.69,"3,668,954"
Telecard Limited,8.05,8.1,8.38,8.0,8.08,  0.04,"5,265,271"
TPL Corp Ltd,9.85,9.75,10.5,9.75,10.0,  0.15,"15,324,456"
TPL Trakker Ltd,7.65,7.65,7.85,7.41,7.61,  ,"379,764"
TRG Pak Ltd,58.59,59.0,63.94,58.55,62.35,  3.68,"30,445,768"
WorldCall Telecom,1.52,1.54,1.6,1.54,1.57,  0.04,"75,546,108"
Zarea Limited,29.32,29.1,29.59,28.7,29.36,  0.05,"224,147"
AN Textile Mill,27.49,29.0,29.0,25.34,27.99,  ,258
Artistic Denim,58.54,58.5,60.0,57.35,59.49,  0.25,"39,206"
Aruj Industries,10.65,10.16,10.79,10.02,10.2,  -0.45,"74,415"
Azgard Nine,12.14,12.09,12.3,12.04,12.21,  0.02,"526,653"
Bhanero Tex.,"1,000.00",940.0,994.0,923.0,953.5,  -54.26,710
Blessed Tex.,299.94,295.0,312.99,295.0,309.99,  10.11,601
Chenab Limited,24.96,24.96,25.25,24.0,24.01,  0.07,"523,129"
Chenab Ltd.(Pre,3.89,3.85,4.0,3.85,3.95,  0.06,"121,369"
Crescent Tex.,21.89,21.81,21.99,21.51,21.55,  -0.29,"214,060"
Faisal Spinning,373.02,369.0,379.0,352.8,376.0,  -19.89,329
Fateh Sports,103.54,102.0,103.0,98.1,103.0,  ,198
Fazal Cloth,286.67,285.0,290.0,282.01,285.0,  -1.67,"1,271"
Feroze 1888,77.24,77.0,79.98,76.01,78.7,  1.46,"33,945"
Ghazi Fabrics,14.79,14.16,14.61,13.41,14.1,  -0.69,"33,823"
Gul Ahmed,37.98,37.8,38.9,37.02,38.74,  0.61,"1,361,845"
Hafiz Limited,370.85,350.0,390.0,333.77,373.33,  -28.89,397
Hala Enterprise,21.27,21.27,23.4,21.0,23.4,  1.96,"319,249"
Int.Knitwear,45.62,46.8,46.8,43.5,45.49,  -0.14,"18,031"
Interloop Ltd.,70.65,70.5,75.72,70.0,74.88,  3.62,"6,031,496"
Jubilee Spinning,33.04,32.0,36.34,31.02,36.34,  3.3,"58,303"
Khyber Textile,"1,518.70",1451.01,1525.25,1422.22,1491.0,  1.46,181
Kohinoor Ind.,15.08,14.8,15.24,14.52,14.8,  -0.22,"105,689"
Kohinoor Mills,94.12,95.0,99.0,88.71,89.4,  -4.8,"173,811"
Kohinoor Textile,253.98,254.95,265.0,254.95,259.0,  5.16,"59,327"
Masood Textile,60.24,60.5,63.5,60.0,60.5,  0.7,"3,923"
Mehmood Tex.,335.72,344.98,344.98,335.15,344.98,  9.1,"2,773"
Nishat (Chun.),50.00,50.0,50.5,49.2,49.5,  -0.5,"60,364"
Nishat Mills Ltd,158.18,156.11,163.5,155.51,160.0,  1.96,"1,406,626"
Paramount Sp,8.00,8.0,8.0,7.73,7.95,  -0.16,"21,421"
Quetta Textile,17.25,17.0,17.3,17.0,17.0,  0.01,"6,001"
Redco Textile,27.09,27.9,27.9,24.55,26.0,  -1.95,"12,649"
Reliance Weaving,110.00,110.0,110.5,105.5,106.05,  -0.25,"1,171"
Sapphire Fiber,"1,010.20",1046.0,1048.0,1016.0,1040.97,  30.78,270
Sapphire Tex.,"1,302.85",1276.0,1320.0,1276.0,1318.9,  14.98,64
Shams Textile,37.69,34.35,39.1,34.35,38.75,  1.27,"3,216"
Stylers Int.Ltd.,45.32,45.2,47.98,43.1,45.95,  -0.83,"51,657"
Suraj Cotton Mills,128.00,127.03,131.0,127.0,130.0,  2.0,"32,220"
Towellers Limited,177.03,172.5,182.3,172.5,182.0,  4.88,"35,995"
ZahidJee Tex.,62.74,62.99,66.0,60.61,61.0,  -0.16,"21,117"
Ali Asghar Textile,50.79,52.98,52.98,48.05,50.54,  -0.71,"8,566"
