SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Fatima FertXD,124.77,124.77,125.0,123.8,124.75,  -0.02,"469,425"
Fauji Fert,457.09,458.0,461.39,455.0,455.79,  -1.22,"1,778,983"
Al-Shaheer Corp,19.94,20.0,20.0,19.41,19.41,  -0.32,"975,760"
At-Tahur Ltd.,41.59,41.51,42.48,40.9,42.0,  0.36,"4,560,144"
Barkat Frisian Agro,44.28,44.5,44.5,43.4,43.49,  -0.75,"1,614,527"
Big Bird Foods Ltd.,47.86,47.6,47.93,47.41,47.8,  -0.13,"1,047,964"
Bunnys Limited,124.18,132.0,136.6,132.0,136.6,  12.42,"2,010,739"
Clover Pakistan,43.13,42.88,43.43,42.55,42.8,  -0.24,"161,250"
Colgate Palm,"1,299.99",1300.01,1313.96,1300.0,1301.23,  2.88,"20,271"
Fauji Foods Ltd,18.66,18.6,18.89,18.41,18.62,  -0.08,"18,350,529"
Frieslandcampina,87.19,87.01,87.8,86.51,87.0,  -0.25,"262,963"
Gillette Pak,222.70,235.0,235.0,222.7,223.0,  0.38,"2,252"
Ismail Ind-,"2,094.94",2185.97,2185.97,2184.5,2184.5,  ,6
Matco Foods Ltd,49.99,50.0,50.75,49.02,50.25,  0.26,"98,324"
MithchellsFruit,203.25,204.0,207.0,201.4,206.9,  2.56,"19,160"
Murree Brewery,"1,006.47",1002.2,1024.35,980.0,1016.0,  4.21,"1,636"
National Foods,346.59,346.0,354.45,335.01,348.0,  1.97,"999,928"
Nestle Pakistan,"8,470.09",8588.0,8588.0,8411.0,8530.0,  1.12,853
Quice Food,8.85,8.94,8.94,8.65,8.74,  -0.09,"1,440,894"
Rafhan Maize,"9,515.00",9640.0,9643.99,9450.2,9569.8,  62.11,147
Shezan Inter.,203.25,200.02,204.98,200.0,203.0,  -0.25,"9,526"
Shield Corp.,336.55,339.0,360.0,339.0,345.0,  8.45,503
The Organic Meat,53.88,53.75,56.5,53.48,54.6,  0.55,"8,076,019"
Treet Corp,24.50,24.5,25.7,24.17,25.2,  0.6,"16,218,846"
Unilever FoodsXD,"32,317.25",32017.0,32198.99,32008.0,32198.98,  -118.27,9
Unity Foods Ltd,27.69,27.75,28.61,27.25,28.4,  0.37,"4,040,888"
ZIL Limited,362.94,352.0,363.0,352.0,363.0,  0.05,471
AICL-SEPB,73.75,73.5,73.5,73.0,73.2,  -0.55,"25,000"
AGHA-SEP,9.19,9.16,9.21,9.08,9.2,  -0.05,"540,500"
AGL-SEP,74.07,73.63,73.65,72.6,72.99,  -0.83,"145,500"
AIRLINK-SEP,159.06,157.01,159.99,156.7,157.48,  -1.85,"991,500"
ASL-SEP,14.21,13.5,13.98,13.5,13.78,  -0.52,"2,909,000"
AKBL-SEPB,84.71,84.0,87.61,84.0,86.0,  1.29,"635,000"
PREMA-SEP,41.98,41.45,42.88,41.45,42.21,  0.33,"832,500"
ATRL-SEP,665.48,665.0,671.5,662.0,670.01,  4.19,"258,500"
AVN-SEP,48.57,48.4,49.69,48.29,49.12,  0.63,"276,000"
BOP-OCTB,18.76,19.5,19.5,19.5,19.5,  0.74,500
BOP-SEPB,18.85,18.85,19.32,18.45,18.84,  0.05,"30,440,500"
BAFL-SEPB,106.00,106.0,106.0,106.0,106.0,  ,"5,000"
BAHL-SEPB,191.92,195.0,195.0,195.0,195.0,  3.08,"30,500"
BML-SEP,6.76,6.81,6.95,6.65,6.65,  -0.08,"5,113,000"
BIPL-SEPB,36.82,37.0,37.0,36.49,36.94,  0.12,"13,500"
CHCC-SEP,370.07,367.5,375.0,366.63,375.0,  -2.31,"5,500"
CPHL-SEP,96.66,96.5,103.25,96.5,102.75,  5.52,"9,667,000"
CNERGY-SEP,7.25,7.22,7.25,7.19,7.24,  -0.03,"371,500"
CSAP-SEP,105.06,105.0,106.14,103.8,103.8,  -1.26,"63,500"
DGKC-SEP,242.87,242.4,245.0,240.0,242.45,  -0.63,"1,463,500"
DCL-SEP,14.54,14.37,14.51,14.21,14.3,  -0.28,"1,584,000"
DFML-SEP,34.94,34.92,36.2,34.75,35.58,  0.58,"1,914,000"
DCR-SEPB,32.30,33.99,34.0,32.7,32.7,  0.4,"49,500"
EFERT-SEPB,215.17,217.0,223.49,217.0,221.5,  6.33,"139,500"
ENGROH-SEP,250.47,246.0,251.49,246.0,246.0,  -3.84,"315,000"
EPCL-SEP,30.50,30.25,31.62,30.22,31.5,  0.91,"634,500"
FCL-SEP,23.81,23.92,24.49,23.77,24.27,  0.46,"73,000"
FATIMA-SEPB,126.00,115.51,125.75,115.5,125.5,  -0.5,"16,000"
FCCL-SEP,58.86,59.0,60.6,58.4,59.38,  0.4,"1,950,000"
FFC-SEPB,461.15,462.49,466.5,455.11,460.98,  -1.19,"133,500"
FFL-SEP,18.90,18.68,19.05,18.65,18.75,  -0.14,"4,243,500"
FABL-SEPB,77.99,77.5,78.15,77.2,77.99,  -0.37,"373,500"
FLYNG-SEP,53.00,52.51,52.51,51.03,51.53,  -1.47,"80,000"
FCEPL-SEP,87.97,88.35,88.5,87.15,87.15,  -0.19,"115,000"
GAL-SEP,584.33,580.01,594.9,580.0,584.5,  -0.37,"455,500"
GHNI-SEP,811.27,808.98,826.0,808.9,812.0,  -0.41,"170,000"
GCIL-SEP,32.29,32.05,32.8,32.05,32.65,  0.18,"900,000"
GHGL-SEP,48.26,48.25,49.0,48.25,48.86,  0.6,"3,500"
GGL-SEP,27.07,27.24,27.24,26.54,26.9,  -0.26,"1,185,000"
GLAXO-SEPB,402.00,410.0,410.0,410.0,410.0,  8.0,500
GATM-SEP,38.32,37.51,39.45,37.5,39.0,  0.7,"271,000"
HBL-SEPB,267.06,263.0,266.0,263.0,265.0,  -2.29,"60,500"
HUBC-OCT,199.77,199.0,200.05,199.0,200.05,  0.28,"2,000"
HUBC-SEP,197.35,196.1,202.4,195.25,199.95,  1.43,"1,600,000"
HUMNL-SEP,16.44,16.5,18.08,16.48,18.08,  1.56,"9,184,500"
IMAGE-SEP,29.45,28.01,29.84,27.3,29.27,  -0.15,"370,500"
INIL-SEP,228.00,228.0,229.95,227.05,227.05,  -0.79,"10,500"
ISL-SEP,123.00,122.0,124.0,122.0,124.0,  1.0,"17,500"
ILP-SEP,72.50,72.5,76.0,72.5,75.0,  2.45,"165,000"
JSBL-SEP,15.38,15.0,15.35,14.95,15.35,  -0.07,"213,500"
KEL-SEP,5.80,5.74,5.76,5.58,5.66,  -0.14,"5,537,000"
KOSM-SEP,6.81,6.81,6.87,6.78,6.82,  -0.01,"1,245,500"
KAPCO-SEP,36.80,36.95,37.02,36.76,37.02,  0.16,"28,000"
LPL-SEP,25.51,26.28,26.28,26.28,26.28,  0.77,500
LOTCHEM-SEPB,23.32,23.55,25.65,23.55,25.65,  2.33,"1,867,500"
LUCK-SEPB,480.40,485.45,485.99,483.5,485.9,  4.84,"17,000"
LUCK-SEP,482.42,477.0,489.0,476.0,489.0,  3.11,"94,000"
MLCF-SEP,108.14,108.0,109.48,106.86,108.24,  -0.24,"3,147,000"
MARI-SEP,691.35,703.0,706.0,692.0,696.5,  5.16,"717,500"
MCB-SEPB,359.34,0,0,0,0,  ,"20,000"
MEBL-SEPB,408.43,406.0,411.98,405.0,409.59,  0.88,"42,000"
MTL-SEP,572.76,0,0,0,0,  ,"10,000"
MUGHAL-SEP,82.42,81.5,82.3,80.5,80.8,  -1.38,"830,000"
NBP-SEP,177.55,176.25,181.15,176.25,179.19,  1.43,"1,647,500"
NRL-SEP,377.48,380.99,385.5,372.0,375.0,  -3.3,"1,012,000"
NETSOL-SEP,145.20,145.0,148.0,144.56,147.8,  2.15,"421,500"
NCPL-SEP,28.93,28.96,28.96,28.96,28.96,  0.03,500
NML-SEP,160.30,156.4,165.0,156.4,162.0,  1.37,"209,500"
OCTOPUS-SEP,52.03,52.4,53.9,52.0,52.8,  0.87,"76,000"
OGDC-SEP,275.87,274.5,278.0,274.0,275.5,  -0.51,"1,014,500"
PSO-SEP,420.20,420.69,427.9,416.51,426.1,  5.16,"1,448,000"
PTC-SEP,24.38,24.3,25.32,23.95,25.0,  0.64,"3,688,000"
PACE-SEP,6.86,6.89,6.94,6.8,6.93,  0.02,"600,500"
PAEL-SEP,56.19,55.66,57.25,55.01,55.01,  -0.76,"5,306,500"
PIBTL-SEP,13.24,13.18,13.46,13.01,13.05,  -0.08,"4,393,000"
PIBTL-OCT,13.90,13.8,13.8,13.8,13.8,  -0.1,500
PPL-SEP,194.49,192.6,201.65,192.5,197.75,  3.42,"6,312,000"
PRL-SEP,32.64,32.4,32.8,32.1,32.7,  -0.07,"1,258,500"
PAKRI-SEP,14.41,14.36,14.41,14.34,14.41,  -0.02,"95,500"
PIAHCLA-SEP,20.06,20.1,20.36,19.86,20.3,  0.23,"536,500"
PIOC-SEP,266.50,265.0,265.0,259.97,259.97,  -6.51,"2,500"
POWER-SEP,19.23,19.01,19.57,18.14,18.98,  -0.29,"1,966,500"
SAZEW-SEPB,"1,625.51",1625.0,1648.0,1618.0,1620.0,  -1.54,"35,000"
SAZEW-SEP,"1,638.03",1635.0,1639.9,1626.0,1629.89,  -8.98,"55,500"
SNBL-SEP,22.76,22.56,22.56,22.46,22.46,  -0.3,"1,500"
SNBL-OCT,22.90,0,0,0,0,  ,"4,500"
SNGP-SEP,132.75,132.1,141.1,132.1,135.92,  3.31,"2,686,500"
SSGC-SEP,42.67,42.9,45.89,42.55,45.08,  2.22,"18,712,500"
SYM-SEP,16.32,16.5,17.08,16.2,16.69,  0.37,"7,888,000"
SYS-SEP,138.52,138.0,138.91,136.97,137.15,  -0.85,"873,000"
TELE-SEP,8.10,8.11,8.43,8.1,8.2,  0.07,"1,013,000"
THCCL-SEPB,49.46,49.9,49.9,48.0,48.68,  -1.13,"2,089,500"
TOMCL-SEP,54.34,54.68,56.85,54.15,55.1,  0.68,"3,032,000"
TOMCL-OCT,55.05,56.0,56.0,56.0,56.0,  0.95,500
SEARL-SEP,117.25,117.0,119.9,116.54,119.2,  2.0,"2,271,000"
TPLP-SEP,10.50,10.4,10.58,10.35,10.41,  -0.03,"1,140,500"
TREET-SEP,24.74,24.68,25.92,24.11,25.4,  0.59,"4,646,500"
TRG-SEP,59.11,58.61,64.44,58.61,63.01,  3.8,"9,977,500"
UNITY-SEP,27.95,27.9,28.89,27.66,28.45,  0.4,"1,156,000"
WAVES-SEP,12.22,12.11,12.29,12.0,12.01,  -0.19,"1,073,500"
WAVESAPP-SEP,10.04,10.0,10.0,9.85,9.85,  -0.14,"55,000"
WTL-SEP,1.53,1.56,1.62,1.56,1.6,  0.05,"8,261,000"
WTL-OCT,1.55,2.0,2.0,2.0,2.0,  0.45,500
YOUW-SEP,5.67,5.69,5.74,5.57,5.74,  -0.04,"96,500"
Bal.Glass,14.84,15.0,15.3,14.41,14.7,  -0.31,"2,363,459"
Frontier Ceram,43.31,43.5,44.0,42.51,43.05,  0.52,"5,068"
Ghani Glass Ltd,47.96,48.89,49.0,47.75,49.0,  1.01,"330,440"
Ghani Value Glass,67.26,68.0,68.5,66.0,67.5,  0.24,"11,245"
GhaniGlobalGlass,12.75,12.61,12.9,12.52,12.82,  0.01,"1,894,306"
Karam Ceramics,165.28,148.75,181.0,148.75,158.1,  14.95,188
Shabbir Tiles,17.11,17.05,17.48,17.0,17.2,  0.17,"433,937"
Tariq Glass Ind.,269.77,270.0,270.1,263.0,268.0,  -3.87,"358,506"
Adamjee Ins.XD,73.34,73.75,74.8,72.18,72.3,  -0.71,"616,070"
Adamjee Life Ass.XD,34.45,34.0,34.0,34.0,34.0,  -0.45,"1,770"
Ask.Gen.Insur.XD,45.15,45.04,45.8,45.02,45.05,  0.19,"11,940"
Askari Life Ass,12.03,12.0,12.39,11.7,11.85,  -0.22,"850,859"
Atlas Ins. Ltd,78.04,78.5,79.99,78.5,79.0,  0.96,"7,433"
Century Ins.,48.00,46.52,48.99,46.51,48.0,  -1.21,"1,459"
Cres.Star Ins.,4.15,4.03,4.2,4.03,4.15,  0.01,"559,372"
East West Insurance,57.29,60.0,60.0,60.0,60.0,  ,190
EFU GeneralXD,124.00,123.5,127.89,123.05,126.99,  ,"2,131"
EFU Life AssuranceXD,161.00,163.46,163.46,158.0,159.49,  -2.97,"5,661"
Habib Ins.,13.33,13.0,13.4,12.85,13.19,  -0.25,"184,266"
IGI HoldingsXD,303.03,303.03,310.0,300.0,304.0,  2.28,"81,611"
IGI Life Ins,21.00,21.47,21.47,20.0,20.12,  -0.88,"29,182"
Jubile Life Ins,170.74,170.0,173.98,170.0,172.0,  -0.4,"6,069"
Jubilee Gen.Ins,83.26,82.5,83.0,82.0,82.87,  -1.23,"16,868"
Pak Gen.Ins.,10.29,10.45,10.45,9.6,10.24,  -0.05,"28,056"
Pak Reinsurance,14.28,14.15,14.5,14.15,14.36,  -0.03,"147,786"
PICIC Ins.Ltd.,5.48,5.48,5.59,5.31,5.55,  0.07,"126,550"
Premier Ins.,8.48,8.4,8.57,8.23,8.49,  -0.07,"30,268"
Reliance Ins.,18.31,16.7,18.25,16.7,18.1,  -0.47,"163,729"
Shaheen Ins.,9.00,9.23,9.23,8.9,9.0,  -0.04,"154,065"
TPL Insurance,21.01,21.4,23.11,20.8,22.0,  0.53,"5,618,662"
TPL Life Insurance,38.02,39.99,41.77,39.99,41.7,  3.68,"9,407"
United Insurance,15.81,15.98,15.98,15.63,15.94,  -0.12,"8,185"
Universal Ins.,23.72,25.5,26.09,25.44,26.09,  2.37,"193,176"
786 Invest Ltd,15.76,15.76,16.04,14.41,14.9,  -0.71,"136,856"
AKD Securites,33.07,32.86,33.67,32.49,32.49,  -0.45,"279,054"
Apna Microfin.,11.00,11.6,11.6,11.0,11.0,  ,96
Arif Habib Limited.,95.56,95.57,96.48,94.89,95.5,  -0.12,"97,917"
Calcorp Limited,45.92,46.01,49.99,46.0,46.01,  0.54,"1,791"
Cyan Limited,38.50,38.75,39.39,38.3,38.41,  0.41,"239,913"
Dawood Equities,16.91,16.3,16.49,16.3,16.3,  -0.61,"29,851"
Dawood Law,316.75,324.98,329.85,304.11,310.0,  -6.39,"2,236"
DH Partners Ltd.XD,45.38,45.83,45.85,44.35,44.48,  -0.94,"1,902,944"
Engro Holdings,248.06,246.99,249.4,243.05,243.55,  -3.52,"3,381,617"
Escorts Bank,6.04,6.29,6.89,6.0,6.4,  0.27,"90,988"
F. Nat.Equities,7.64,7.76,8.64,7.63,8.64,  1.0,"43,269,179"
F.Credit & Inv,13.58,13.11,13.65,13.11,13.64,  0.06,"4,590"
First Cap.Equit,6.20,6.0,6.45,5.52,6.28,  -0.15,"258,933"
First Dawood Prop,6.74,6.74,6.96,6.7,6.75,  -0.01,"1,211,297"
Imperial Limite,22.00,21.2,21.9,21.0,21.0,  -1.0,"18,000"
Intermarket Sec.,13.25,13.01,14.58,13.01,14.58,  1.09,"5,615,862"
Invest Bank,6.18,6.2,6.39,6.05,6.1,  -0.07,"7,769,209"
Ist.Capital Sec,2.93,3.0,3.0,2.89,2.95,  0.02,"834,460"
Jah.Sidd. Co.,25.49,25.26,25.6,25.02,25.45,  -0.28,"89,047"
JahangirSidd(Pref),11.50,11.11,11.49,11.11,11.49,  ,220
JS Global Cap.,135.00,142.99,142.99,142.99,142.99,  ,3
JS Investments,30.49,30.39,30.4,30.29,30.3,  -0.19,"3,010"
LSE Capital Ltd.,7.70,7.85,7.99,7.5,7.88,  0.06,"269,390"
LSE Fin. Services,25.00,24.52,25.0,24.5,25.0,  -0.16,"1,402"
LSE Ventures Ltd,7.25,7.43,7.95,7.2,7.4,  0.2,"953,052"
MCB Inv MGT,136.00,136.0,137.89,134.0,136.1,  0.27,"2,782"
Next Capital,11.40,11.3,11.48,11.2,11.22,  -0.19,"2,458"
OLP Financial,52.00,49.5,51.97,49.5,50.0,  -2.0,"36,065"
Pak Stock Exchange,37.17,37.25,37.45,36.8,36.98,  -0.3,"1,143,520"
Pervez Ahmed Co,2.78,2.8,2.84,2.7,2.79,  0.02,"2,386,868"
PIA Holding Company,19.89,19.91,20.19,19.68,20.1,  0.16,"2,470,928"
PIA Holding CompanyB,"24,656.50",24900.0,26000.0,24900.0,25600.0,  1009.5,28
Sec. Inv. Bank,9.26,8.75,9.7,8.75,9.31,  ,290
Trust Brokerage,12.75,12.71,13.25,12.71,12.95,  -0.04,"88,040"
Crescent Jute,11.35,10.95,11.3,10.95,11.15,  -0.2,"31,613"
Suhail Jute,113.52,115.88,115.88,106.0,113.99,  ,318
Grays Leasing,30.27,30.5,33.3,30.49,33.3,  2.84,"102,687"
Pak Gulf Leasing,18.54,18.25,18.98,18.25,18.74,  0.21,"2,823"
Bata (Pak) Ltd.,"1,517.91",1518.0,1537.0,1518.0,1532.49,  7.52,903
Fateh Industries,224.90,202.41,239.0,202.41,207.15,  4.18,913
Leather Up Ltd.,41.60,43.0,43.0,41.5,41.54,  0.08,"33,593"
Service Global,93.39,93.0,98.5,91.33,96.8,  3.77,"481,093"
Service Ind.Ltd,"1,400.00",1392.0,1398.0,1352.0,1393.0,  -5.97,"51,469"
AKD Hospitality,170.42,174.95,174.95,165.0,169.96,  -2.25,"6,945"
AL-Khair Gadoon,55.05,55.05,56.5,55.05,55.1,  ,443
Diamond Ind.,36.80,36.0,36.0,36.0,36.0,  -0.8,675
ECOPACK Ltd,62.99,61.62,62.9,61.45,62.3,  -1.09,"431,333"
Gammon Pak,28.16,27.7,28.99,27.7,28.48,  0.1,"228,475"
GOC (Pak) Ltd.,131.19,134.0,136.0,132.0,135.8,  1.37,"1,949"
Mandviwala,88.83,88.8,97.71,82.0,97.71,  8.88,"392,294"
Olympia Mills,36.01,35.51,38.84,34.5,38.25,  2.29,"10,807"
Pak Services,948.83,963.0,965.0,921.0,945.0,  -3.13,411
Pakistan Alumin,153.88,153.98,155.0,151.0,153.0,  -0.85,"89,864"
Shifa Int.Hospital,556.50,556.5,556.5,550.0,553.6,  -4.11,"8,471"
Siddiqsons Tin,8.04,8.02,8.05,7.8,7.89,  -0.2,"1,276,150"
Tri-Pack Films,130.25,130.0,132.0,130.0,131.49,  0.37,"21,077"
UDL Int.Ltd.,9.31,10.19,10.3,9.81,10.14,  0.69,"151,534"
United Brands,24.37,24.5,24.5,23.55,24.25,  -0.74,"175,166"
United Distributor,78.43,78.0,81.0,77.8,78.27,  0.16,"4,113"
1st.Fid.Leasing,7.61,7.4,7.9,7.4,7.89,  -0.04,"452,657"
AL-Noor Mod,5.52,5.7,5.75,5.5,5.7,  0.18,"133,437"
B.F.Modaraba,12.44,12.53,12.9,12.3,12.9,  -0.04,"8,503"
Elite Cap.Mod,21.52,20.05,23.67,20.05,23.67,  2.15,"10,536"
Equity Modaraba,6.86,6.3,6.79,5.87,6.29,  -0.62,"571,223"
F.Treet Manuf,18.37,18.27,18.95,18.27,18.95,  0.24,"2,329"
Habib Modaraba,34.24,34.24,34.7,33.8,34.65,  0.4,"14,901"
I.B.L.Modarab,8.38,8.8,8.8,8.17,8.17,  -0.19,"6,916"
OLP Modaraba,22.25,21.63,22.25,21.5,22.0,  -0.15,"21,495"
Orient Rental,11.64,11.75,11.75,11.4,11.75,  -0.04,"14,205"
Paramount Mod,11.36,11.2,11.45,10.22,10.47,  -0.91,"356,312"
Popular Islamic,25.49,23.3,26.25,23.3,25.95,  -0.47,"3,027"
Punjab Mod,4.35,4.32,4.7,4.32,4.66,  0.27,"265,790"
Sindh Modaraba,16.06,16.98,17.67,15.5,16.8,  0.86,"169,869"
Tri-Star 1st Mod.,13.77,13.11,15.15,13.11,14.92,  -0.06,"4,049"
Trust Modaraba,48.11,48.25,49.29,46.06,48.1,  0.06,"685,451"
Unicap Modaraba,4.72,4.65,4.96,4.65,4.9,  0.18,"51,971"
Wasl Mobility Mod,4.15,4.16,4.41,4.1,4.24,  0.06,"1,364,073"
Mari Energies Ltd.,687.34,696.96,704.0,690.0,694.1,  6.98,"4,221,532"
Oil & Gas Dev,273.15,272.99,275.5,271.25,272.8,  -0.23,"3,937,900"
Pak Oilfields,680.32,681.0,696.0,679.0,689.5,  7.31,"497,338"
Pak Petroleum,192.58,191.53,199.8,191.5,196.2,  3.48,"27,646,279"
Attock Petroleum,523.66,524.0,528.75,520.26,523.75,  0.97,"31,069"
Burshane LPG,34.70,34.51,35.4,34.25,35.25,  0.55,"2,330"
Hascol Petrol,10.60,10.64,10.73,10.51,10.62,  -0.03,"3,003,812"
HI-Tech Lub.,49.44,50.1,50.1,47.9,47.9,  -1.26,"1,303,217"
Oilboy Energy,9.03,9.15,9.19,9.0,9.19,  0.08,"88,514"
P.S.O.,415.95,415.0,424.48,413.0,422.98,  5.76,"5,531,587"
Sui North Gas,131.49,132.11,139.99,132.11,134.9,  3.46,"16,514,466"
Sui South Gas,42.25,42.1,45.5,42.1,44.6,  2.22,"56,459,757"
Wafi Energy Pak,171.03,171.03,171.99,168.0,170.8,  -0.97,"59,911"
Century Paper,27.27,27.01,27.75,26.8,27.25,  -0.03,"345,711"
Cherat Packaging,117.61,117.65,125.0,116.52,123.4,  6.43,"3,417,421"
Int. Packaging Films,23.27,22.9,23.75,22.7,23.6,  0.24,"816,655"
MACPAC Films,30.75,31.34,31.34,30.61,30.85,  0.1,"253,651"
Merit Packaging,14.49,14.49,14.55,13.7,14.12,  -0.46,"2,110,987"
Packages Ltd.,701.26,701.0,725.0,686.01,720.0,  11.47,"17,129"
Pak Paper Prod,169.95,170.0,173.25,168.0,170.0,  0.07,"19,305"
Roshan Packages,21.77,21.92,21.92,21.41,21.52,  -0.22,"404,355"
Security Paper,190.19,189.55,192.5,186.5,191.0,  0.98,"19,087"
SPEL Limited,69.88,69.75,73.5,69.11,70.37,  0.7,"5,930,246"
Abbott Lab.,"1,177.58",1168.25,1190.0,1150.0,1180.0,  6.42,"45,133"
AGP LimitedXD,189.31,189.99,189.99,187.15,189.0,  -0.43,"67,004"
BF Biosciences,165.78,166.05,166.8,165.0,166.68,  0.45,"552,242"
Citi Pharma Ltd,95.58,96.0,102.22,95.75,101.32,  5.59,"32,053,513"
Ferozsons (Lab),415.18,415.18,416.0,410.0,413.0,  -3.02,"16,272"
GlaxoSmithKlineXD,406.13,405.9,407.9,403.0,405.99,  -1.26,"402,246"
Haleon PakistanXD,869.99,869.0,875.38,860.5,869.88,  -0.97,"44,010"
